ptid;enid;name;fullname
5530;12102;538MKjørefeltinndelingVarslingAvMidtrekkverk;538.M - Kjørefeltinndeling. Varsling av midtrekkverk
5530;9935;53901KjørefeltendringMedMotgående;539.01 - Kjørefeltendring med motgående
5530;9936;53902KjørefeltendringMedToFelt;539.02 - Kjørefeltendring med to felt
5530;7724;540Gatetun;540 - Gatetun
5530;7725;542SluttPåGatetun;542 - Slutt på gatetun
5530;7726;u544TettbygdStrøk;U544 - Tettbygd strøk
5530;7727;u546SluttPåTettbygdStrøk;U546 - Slutt på tettbygd strøk
5530;9173;548Gågate;548 - Gågate
5530;9174;550SluttPåGågate;550 - Slutt på gågate
5530;7728;552Parkering;552 - Parkering
5530;12101;555Havarilomme;555 - Havarilomme
5530;9946;5561AutomatiskTrafikkontrollPunktmåling;556.1 - Automatisk trafikkontroll - punktmåling
5530;17315;5562AutomatiskTrafikkontrollStrekningsmåling;556.2 - Automatisk trafikkontroll – strekningsmåling
5530;10080;558VideokontrollOvervåking;558 - Videokontroll/-overvåking
5530;7729;560Opplysningstavle;560 - Opplysningstavle
5530;12103;5601GenerelleFartsgrenser;560.1 - Generelle fartsgrenser
5530;9175;u5601OpplysningstavleVariabeltSkilt;U560.1 - Opplysningstavle, Variabelt skilt
5530;12147;5602ForbudtForGåendeOgSyklendePåMotorvegOgMotortra;560.2 - Forbudt for gående og syklende på motorveg og motortrafikkveg
5530;16053;56021ForvarselBomstasjon;560.21 - Forvarsel bomstasjon
5530;9176;u5602OpplysningstavleTunnel;U560.2 - Opplysningstavle, Tunnel
5530;16054;56023Taksttavle;560.23 - Taksttavle
5530;16055;56025InformasjonBomstasjon;560.25 - Informasjon bomstasjon
5530;16056;56027ForvarselForServicestasjon;560.27 - Forvarsel for servicestasjon
5530;16057;56029ForvarselInfotavle;560.29 - Forvarsel infotavle
5530;9177;u5603OpplysningstavleBomstasjon;U560.3 - Opplysningstavle, Bomstasjon
5530;9178;5603ForvarslingOmFartsmåling;560.3 - Forvarsling om fartsmåling
5530;13466;565FeilKjøreretning;565 - Feil kjøreretning
5530;9551;5701VNødutgangskiltForTunnel;570.1V - Nødutgangskilt for tunnel
5530;9552;5701HNødutgangskiltForTunnel;570.1H - Nødutgangskilt for tunnel
5530;9553;5702VNødutgangskiltForTunnelMedAvstand;570.2V - Nødutgangskilt for tunnel med avstand
5530;9554;5702HNødutgangskiltForTunnelMedAvstand;570.2H - Nødutgangskilt for tunnel med avstand
5530;13016;590Kampanje;590 - Kampanje
5530;9179;600Serviceskilt;600 - Serviceskilt
5530;8880;601Radiokanal;601 - Radiokanal
5530;7730;602Førstehjelp;602 - Førstehjelp
5530;7731;u604Telefon;U604 - Telefon
5530;8881;605Nødtelefon;605 - Nødtelefon
5530;7732;606Brannslokningsapparat;606 - Brannslokningsapparat
5530;17316;609HurtigladingAvMotorvogn;609 - Hurtiglading av motorvogn
5530;17317;776Godshavn;776 - Godshavn
5530;7733;608Kjøretøyverksted;608 - Kjøretøyverksted
5530;7734;610Bensinstasjon;610 - Bensinstasjon
5530;8882;611Toalettømmeanlegg;611 - Toalettømmeanlegg
5530;7735;612Toalett;612 - Toalett
5530;9180;6131Rasteplass;613.1 - Rasteplass
5530;9181;6132RasteplassWC;613.2 - Rasteplass/WC
5530;7736;614EnklereServering;614 - Enklere servering
5530;7737;616Spisested;616 - Spisested
5530;7738;618Campingplass;618 - Campingplass
5530;8883;621Bobilplass;621 - Bobilplass
