ptid;enid;name
1148;14655;BFSI 1KV 3X6/6
1148;14661;BFSI 1KV 3X70/35
1148;14662;BFSI 1KV 3X95/50
1148;14667;BFSI 1KV 4X10/10
1148;14673;BFSI 1KV 4X150/70
1148;14668;BFSI 1KV 4X16/16
1148;14669;BFSI 1KV 4X25/16
1148;14670;BFSI 1KV 4X35/16
1148;14671;BFSI 1KV 4X50/25
1148;14666;BFSI 1KV 4X6/6
1148;14672;BFSI 1KV 4X70/35
1148;14649;BFSI-EMC 1KV 2X1,5/1,5
1148;14650;BFSI-EMC 1KV 2X2,5/2,5
1148;14652;BFSI-EMC 1KV 3X1,5/1,5
1148;14653;BFSI-EMC 1KV 3X2,5/2,5
1148;14654;BFSI-EMC 1KV 3X4/4
1148;14664;BFSI-EMC 1KV 4X1,5/1,5
1148;14665;BFSI-EMC 1KV 4X2,5/2,5
1148;14674;BI 500V 3G1,5
1148;14675;BI 500V 3G2,5
1148;14449;CATV 0,8/3,6 59F 67% PVC
1148;14448;CATV 0,8/3,6 59F 67% PVC B2 130
1148;14442;CATV 0,8/3,6 59F tri 77% PVC
1148;14451;CATV 1,0/4,6 6F 60% PVC
1148;14450;CATV 1,0/4,6 6F 60% PVC B2 100
1148;14444;CATV 1,0/4,6 6F tri 77% LSZH
1148;14445;CATV 1,0/4,6 6F tri 77% PEF
1148;14443;CATV 1,0/4,6 6F tri 77% PVC
1148;14446;CATV 1,6/7,3 11F tri 77% LSZH
1148;14447;CATV 1,6/7,3 11F tri 77% PEF
1148;14794;EFSP 3KV 1X6/6 SORT
1148;14676;EX 1KV 2X25A
1148;14677;EX 1KV 3X25A
1148;14678;EX 1KV 3X50A
1148;14679;EX 1KV 3X95A
1148;14680;EX 1KV 4X25A
1148;14681;EX 1KV 4X50A
1148;14682;EX 1KV 4X95A
1148;14414;G12-50 TB LSZH  OM2
1148;14404;G12-50 TBW ST LSZH OM2
1148;14409;G12-50 TBW ST LSZH OM3
1148;14115;G12-50 UT30 LSZH OM2
1148;14392;G12-62,5 TB LSZH  OM1
1148;14397;G12-62,5 TBW LSZH  OM1
1148;14430;G12-62,5/125 QIQG-ø3,7-R1,0  TIA
1148;14421;G12-9 AWAI
1148;14083;G12-9 GRSQBDV
1148;14097;G12-9 QXWE 0403LV-D7,0
1148;14103;G12-9 QXWE 0403LV-D9,0
1148;14091;G12-9 QXWE 0403LV-W1,4
1148;14111;G12-9 QXWE W0,7 MONO
1148;14064;G12-9 QXXE-0403LV-D
1148;14070;G12-9D QXXE (2,3 mm)
1148;14426;G12-9D TB LSZH
1148;14419;G12-9D TBW ST LSZH
1148;14428;G12-9D/125 QIQG-ø3,7-R1,0  TIA
1148;14101;G144-9 QXWE 0403LV-D7,0
1148;14107;G144-9 QXWE 0403LV-D9,0
1148;14095;G144-9 QXWE 0403LV-W1,4
1148;14068;G144-9 QXXE-0403LV-D
1148;14074;G144-9D QXXE (2,3 mm)
1148;14102;G192-9 QXWE 0403LV-D7,0
1148;14108;G192-9 QXWE 0403LV-D9,0
1148;14096;G192-9 QXWE 0403LV-W1,4
1148;14069;G192-9 QXXE-0403LV-D
1148;14415;G24-50 TB LSZH  OM2
1148;14405;G24-50 TBW ST LSZH OM2
1148;14410;G24-50 TBW ST LSZH OM3
1148;14116;G24-50 UT30 LSZH OM2
1148;14393;G24-62,5 TB LSZH  OM1
1148;14398;G24-62,5 TBW LSZH  OM1
1148;14431;G24-62,5/125 QIQG-ø3,7-R1,0  TIA
1148;14078;G24-657A1 QXXE MIKRO (1,6 mm)
1148;14422;G24-9 AWAI
1148;14084;G24-9 GRSQBDV
1148;14098;G24-9 QXWE 0403LV-D7,0
1148;14104;G24-9 QXWE 0403LV-D9,0
1148;14092;G24-9 QXWE 0403LV-W1,4
1148;14065;G24-9 QXXE-0403LV-D
1148;14088;G24-9 QXXI
1148;14071;G24-9D QXXE (2,3 mm)
1148;14427;G24-9D TB LSZH
1148;14420;G24-9D TBW ST LSZH
1148;14429;G24-9D/125 QIQG-ø3,7-R1,0  TIA
1148;14399;G2-50 ZC LSZH  OM2
1148;14400;G2-62,5 ZC LSZH  OM1, Rød
1148;14075;G288-9D QXXE-0403LV-D
1148;14076;G384-9D QXXE-0403LV-D
1148;14077;G432-9D QXXE-0403LV-D
1148;14411;G4-50 TB LSZH  OM2
1148;14401;G4-50 TBW ST LSZH OM2
1148;14406;G4-50 TBW ST LSZH OM3
1148;14112;G4-50 UT30 LSZH  OM2
1148;14389;G4-62,5 TB LSZH  OM1
1148;14394;G4-62,5 TBW LSZH  OM1
1148;14079;G48-657A1 QXXE MIKRO (1,6 mm)
1148;14085;G48-9 GRSQBDV
1148;14099;G48-9 QXWE 0403LV-D7,0
1148;14105;G48-9 QXWE 0403LV-D9,0
1148;14093;G48-9 QXWE 0403LV-W1,4
1148;14066;G48-9 QXXE-0403LV-D
1148;14089;G48-9 QXXI
1148;14072;G48-9D QXXE (2,3 mm)
1148;14081;G4-9 GRSQBDV
1148;14109;G4-9 QXWE W0,7 MONO
1148;14423;G4-9D TB LSZH
1148;14416;G4-9D TBW ST LSZH
1148;14412;G6-50 TB LSZH  OM2
1148;14113;G6-50 UT30 LSZH  OM2
1148;14402;G6-50 TBW ST LSZH OM2
1148;14390;G6-62,5 TB LSZH  OM1
1148;14407;G6-50 TBW ST LSZH OM3
1148;14395;G6-62,5 TBW LSZH  OM1
1148;14424;G6-9D TB LSZH
1148;14417;G6-9D TBW ST LSZH
1148;14086;G72-9 GRSQBDV
1148;14413;G8-50 TB LSZH  OM2
1148;14403;G8-50 TBW ST LSZH OM2
1148;14408;G8-50 TBW ST LSZH OM3
1148;14114;G8-50 UT30 LSZH  OM2
1148;14391;G8-62,5 TB LSZH  OM1
1148;14396;G8-62,5 TBW LSZH  OM1
1148;14082;G8-9 GRSQBDV
1148;14110;G8-9 QXWE W0,7 MONO
1148;14425;G8-9D TB LSZH
1148;14418;G8-9D TBW ST LSZH
1148;14080;G96-657A1 QXXE MIKRO (1,6 mm)
1148;14087;G96-9 GRSQBDV
1148;14100;G96-9 QXWE 0403LV-D7,0
1148;14106;G96-9 QXWE 0403LV-D9,0
1148;14094;G96-9 QXWE 0403LV-W1,4
1148;14067;G96-9 QXXE-0403LV-D
1148;14090;G96-9 QXXI
1148;14073;G96-9D QXXE (2,3 mm)
1148;14646;IFLI 250V 2X1/1 MM - R
1148;14645;IFLI 250V 2x1/1-R B2 150
1148;14631;IFLI 500V 2X1,5/1,5
1148;14623;IFLI 500V 2X1,5/1,5 (BUNT)
1148;14632;IFLI 500V 2X2,5/2,5
1148;14624;IFLI 500V 2X2,5/2,5 (BUNT)
1148;14633;IFLI 500V 2X4/4
1148;14625;IFLI 500V 2X4/4 (BUNT)
1148;14634;IFLI 500V 2X6/6
1148;14626;IFLI 500V 2X6/6 (BUNT)
1148;14635;IFLI 500V 3X1,5/1,5
1148;14627;IFLI 500V 3X1,5/1,5 (BUNT)
1148;14636;IFLI 500V 3X2,5/2,5
1148;14628;IFLI 500V 3X2,5/2,5 (BUNT)
1148;14637;IFLI 500V 4X1,5/1,5
1148;14629;IFLI 500V 4X1,5/1,5 (BUNT)
1148;14638;IFLI 500V 4X2,5/2,5
1148;14630;IFLI 500V 4X2,5/2,5 (BUNT)
1148;14591;IFSI 1KV 3X10/10
1148;14597;IFSI 1KV 3X150/70
1148;14572;IFSI 1KV 3X150A/41
1148;14592;IFSI 1KV 3X16/16
1148;14573;IFSI 1KV 3X240 A/72
1148;14593;IFSI 1KV 3X25/16
1148;14569;IFSI 1KV 3X25A/10
1148;14594;IFSI 1KV 3X35/16
1148;14595;IFSI 1KV 3X50/25
1148;14570;IFSI 1KV 3X50A/15
1148;14571;IFSI 1KV 3X95 A/29
1148;14596;IFSI 1KV 3X95/50
1148;14598;IFSI 1KV 4X10/10
1148;14605;IFSI 1KV 4X120/70
1148;14606;IFSI 1KV 4X150/70
1148;14577;IFSI 1KV 4X150A/41
1148;14599;IFSI 1KV 4X16/16
1148;14607;IFSI 1KV 4X185/95
1148;14608;IFSI 1KV 4X240/120
1148;14578;IFSI 1KV 4X240A/72
1148;14574;IFSI 1KV 4X25 A/10
1148;14600;IFSI 1KV 4X25/16
1148;14601;IFSI 1KV 4X35/16
1148;14575;IFSI 1KV 4X50 A/15
1148;14602;IFSI 1KV 4X50/25
1148;14603;IFSI 1KV 4X70/35
1148;14576;IFSI 1KV 4X95 A/29
1148;14604;IFSI 1KV 4X95/50
1148;14611;IFSI 500V 12X0,75
1148;14612;IFSI 500V 20X0,75
1148;14613;IFSI 500V 28X0,75
1148;14609;IFSI 500V 4X0,75
1148;14610;IFSI 500V 8X0,75
1148;14616;IFSI 750V 12X1,5
1148;14621;IFSI 750V 12X2,5
1148;14617;IFSI 750V 19X1,5
1148;14622;IFSI 750V 19X2,5
1148;14618;IFSI 750V 27X1,5
1148;14619;IFSI 750V 37X1,5
1148;14614;IFSI 750V 5X1,5
1148;14615;IFSI 750V 7X1,5
1148;14620;IFSI 750V 7X2,5
1148;14579;IFSI-EMC 1KV 2X1,5/1,5
1148;14580;IFSI-EMC 1KV 2X2,5/2,5
1148;14581;IFSI-EMC 1KV 2X4/4
1148;14582;IFSI-EMC 1KV 2X6/6
1148;14583;IFSI-EMC 1KV 3X1,5/1,5
1148;14584;IFSI-EMC 1KV 3X2,5/2,5
1148;14585;IFSI-EMC 1KV 3X4/4
1148;14586;IFSI-EMC 1KV 3X6/6
1148;14587;IFSI-EMC 1KV 4X1,5/1,5
1148;14588;IFSI-EMC 1KV 4X2,5/2,5
1148;14589;IFSI-EMC 1KV 4X4/4
1148;14590;IFSI-EMC 1KV 4X6/6
1148;14639;IFXI 500V 3G1,5
1148;14640;IFXI 500V 3G2,5
1148;14641;IFXI 500V 4G1,5
1148;14642;IFXI 500V 4G2,5
1148;14643;IFXI 500V 5G1,5
1148;14644;IFXI 500V 5G2,5
1148;14648;IX 750V 25 G/G
1148;14647;IX 750V 6 G/G
1148;14514;Kat. 5 U/UTP LSZH 1000 Hvit
1148;14513;Kat. 5 U/UTP LSZH 305 Hvit
1148;14512;Kat. 5 U/UTP PVC 1000 Hvit
1148;14511;Kat. 5 U/UTP PVC 305 Hvit
1148;14510;Kat. 5 U/UTP PVC B2 130 Hvit
1148;14520;Kat. 6 F/UTP LSZH B2 150 Hvit
1148;14519;Kat. 6 U/UTP LSZH 1000 Hvit
1148;14518;Kat. 6 U/UTP LSZH 305 Hvit
1148;14521;Kat. 6 U/UTP LSZH B2 150 Hvit
1148;14517;Kat. 6 U/UTP PVC 1000 Hvit
1148;14516;Kat. 6 U/UTP PVC 305 Hvit
1148;14515;Kat. 6 U/UTP PVC B2 130 Hvit
1148;14942;KGE  25 MM2  (5,65 MM)
1148;14940;KGE 25mm² (Bunt 25m)
1148;14941;KGE 5,65 MM (BUNT 100 M)
1148;14943;KGF  25 MM2  (7X2,24)
1148;14944;KGF  35 MM2  (7X2,64)
1148;14945;KGF  50 MM2  (7X3,01)
1148;14946;KGF  95 MM2 (19X2,64)
1148;14947;KGF 120 MM2 (19X2,97)
1148;14948;KHF  25 MM2  (7X2,24)
1148;14949;KHF  35 MM2  (7X2,64)
1148;14950;KHF  50 MM2  (7X3,01)
1148;14951;KHF  70 MM2 (19X2,24)
1148;14952;KHF  95 MM2 (19X2,64)
1148;14452;MK-214 Mikrofonkabel
1148;14453;MK-250 Mikrofonkabel
1148;14455;Modular kabel  4x0,14 ,hv
1148;14454;Modular kabel  4x0,14, sv
1148;14456;Modular kabel  6x0,14 ,sv
1148;14457;Modular kabel  8x0,14 ,sv
1148;14507;N-LINE 6F 1,0/4,6 TRI 16-100
1148;14508;N-LINE KAT5 UTP 4PAR 16-100
1148;14509;N-LINE KAT6 U/UTP 16-100
1148;14486;PFSK 440V 12x0,22 500m
1148;14485;PFSK 440V 12x0,22 B2 130m
1148;14497;PFSK 440V 12X0,5 B2 60m
1148;14487;PFSK 440V 18x0,22 B2 100m
1148;14498;PFSK 440V 18x0,5 100m
1148;14488;PFSK 440V 25x0,22 100m
1148;14499;PFSK 440V 25x0,5 100m
1148;14490;PFSK 440V 2X0,5 500m
1148;14489;PFSK 440V 2x0,5 B2 130m
1148;14500;PFSK 440V 36x0,5 250m
1148;14491;PFSK 440V 3x0,5 B2 130m
1148;14481;PFSK 440V 4X0,22 500m
1148;14480;PFSK 440V 4x0,22 B1 130m
1148;14493;PFSK 440V 4X0,5 500m
1148;14492;PFSK 440V 4x0,5 B2 130m
