ptid;enid;name;fullname
9182;12469;352;Bjelkebru (352)
9182;12470;353;Bjelkebru (353)
9182;12471;354;Bjelkebru (354)
9182;12472;355;Bjelkebru (355)
9182;12473;356;Bjelkebru (356)
9182;12474;357;Bjelkebru (357)
9182;12475;359;Bjelkebru (359)
9182;12476;36;Stålbjelkebru (36)
9182;12477;360;Stålbjelkebru (360)
9182;12478;361;Stålbjelkebru (361)
9182;12479;362;Stålbjelkebru (362)
9182;12480;363;Stålbjelkebru (363)
9182;12481;364;Stålbjelkebru (364)
9182;12482;365;Stålbjelkebru (365)
9182;12483;366;Stålbjelkebru (366)
9182;12484;369;Stålbjelkebru (369)
9182;12485;37;Platebærerbru (37)
9182;12486;370;Platebærerbru (370)
9182;12487;371;Platebærerbru (371)
9182;12488;372;Platebærerbru (372)
9182;12489;373;Platebærerbru (373)
9182;12490;374;Platebærerbru (374)
9182;12491;375;Platebærerbru (375)
9182;12492;376;Platebærerbru (376)
9182;12493;377;Platebærerbru (377)
9182;12494;379;Platebærerbru (379)
9182;12495;38;Platebærerbru (38)
9182;12496;380;Platebærerbru (380)
9182;12497;381;Platebærerbru (381)
9182;12498;382;Platebærerbru (382)
9182;12499;383;Platebærerbru (383)
9182;12500;384;Platebærerbru (384)
9182;12501;385;Platebærerbru (385)
9182;12502;386;Platebærerbru (386)
9182;12503;387;Platebærerbru (387)
9182;12504;389;Platebærerbru (389)
9182;12505;39;Bjelkebru (39)
9182;12506;390;Bjelkebru (390)
9182;12507;391;Bjelkebru (391)
9182;12508;4;Kassebru (4)
9182;12509;40;Kassebru (40)
9182;12510;400;Kassebru (400)
9182;12511;41;Kassebru (41)
9182;12512;410;Kassebru (410)
9182;12513;411;Kassebru (411)
9182;12514;412;Kassebru (412)
9182;12515;413;Kassebru (413)
9182;12516;415;Kassebru (415)
9182;12517;416;Kassebru (416)
9182;12518;417;Kassebru (417)
9182;12519;419;Kassebru (419)
9182;12520;42;Kassebru (42)
9182;12521;420;Kassebru (420)
9182;12522;421;Kassebru (421)
9182;12523;422;Kassebru (422)
9182;12524;423;Kassebru (423)
9182;12525;425;Kassebru (425)
9182;12526;426;Kassebru (426)
9182;12527;427;Kassebru (427)
9182;12528;429;Kassebru (429)
9182;12529;43;Kassebru (43)
9182;12530;430;Kassebru (430)
9182;12531;431;Kassebru (431)
9182;12532;432;Kassebru (432)
9182;12533;433;Kassebru (433)
9182;12534;435;Kassebru (435)
9182;12535;436;Kassebru (436)
9182;12536;437;Kassebru (437)
9182;12537;439;Kassebru (439)
9182;12538;44;Kassebru (44)
9182;12539;440;Kassebru (440)
9182;12540;441;Kassebru (441)
9182;12541;442;Kassebru (442)
9182;12542;443;Kassebru (443)
9182;12543;445;Kassebru (445)
9182;12544;446;Kassebru (446)
9182;12545;447;Kassebru (447)
9182;12546;449;Kassebru (449)
9182;12547;45;Frittfremb.bru (45)
9182;12548;450;Frittfremb.bru (450)
9182;12549;451;Frittfremb.bru (451)
9182;12550;452;Frittfremb.bru (452)
9182;12551;453;Frittfremb.bru (453)
9182;12552;454;Frittfremb.bru (454)
9182;12553;459;Frittfremb.bru (459)
9182;12554;49;Kassebru (49)
9182;12555;490;Kassebru (490)
9182;12556;5;Bue/hvelv (5)
9182;12557;50;Bue/hvelv (50)
9182;12558;500;Bue/hvelv (500)
9182;12559;51;Buebru (51)
9182;12560;510;Buebru (510)
9182;12561;511;Buebru (511)
9182;12562;512;Buebru (512)
9182;12563;513;Buebru (513)
9182;12564;514;Buebru (514)
9182;12565;515;Buebru (515)
9182;12566;516;Buebru (516)
9182;12567;519;Buebru (519)
9182;12568;52;Buebru (52)
9182;12569;520;Buebru (520)
9182;12570;521;Buebru (521)
9182;12571;522;Buebru (522)
9182;12572;523;Buebru (523)
9182;12573;524;Buebru (524)
9182;12574;525;Buebru (525)
9182;12575;526;Buebru (526)
9182;12576;529;Buebru (529)
9182;12577;53;Buebru (53)
9182;12578;530;Buebru (530)
9182;12579;531;Buebru (531)
9182;12580;532;Buebru (532)
9182;12581;533;Buebru (533)
9182;12582;534;Buebru (534)
9182;12583;539;Buebru (539)
9182;12584;54;Buebru (54)
9182;12585;540;Buebru (540)
9182;12586;541;Buebru (541)
9182;12587;542;Buebru (542)
9182;12588;543;Buebru (543)
9182;12589;544;Buebru (544)
9182;12590;545;Buebru (545)
9182;12591;546;Buebru (546)
9182;12592;547;Buebru (547)
9182;12593;548;Buebru (548)
9182;12594;549;Buebru (549)
9182;12595;55;Buebru (55)
9182;12596;550;Buebru (550)
9182;12597;551;Buebru (551)
9182;12598;552;Buebru (552)
9182;12599;553;Buebru (553)
9182;12600;554;Buebru (554)
9182;12601;555;Buebru (555)
9182;12602;559;Buebru (559)
9182;12603;56;Hvelvbru (56)
9182;12604;560;Hvelvbru (560)
9182;12605;561;Hvelvbru (561)
9182;12606;562;Hvelvbru (562)
9182;12607;563;Hvelvbru (563)
9182;12608;564;Hvelvbru (564)
9182;12609;565;Hvelvbru (565)
9182;12610;569;Hvelvbru (569)
9182;12611;57;Hvelvbru (57)
9182;12612;570;Hvelvbru (570)
9182;12613;571;Hvelvbru (571)
9182;12614;572;Hvelvbru (572)
9182;12615;573;Hvelvbru (573)
9182;12616;574;Hvelvbru (574)
9182;12617;575;Hvelvbru (575)
9182;12618;579;Hvelvbru (579)
9182;12619;59;Bue/Hvelvbru (59)
9182;12620;590;Bue/Hvelvbru (590)
9182;12621;6;Fag/spreng/heng (6)
9182;12622;60;Fag/spreng/heng (60)
9182;12623;600;Fag/spreng/heng (600)
9182;12624;61;Fagverksbru (61)
9182;12625;610;Fagverksbru (610)
9182;12626;611;Fagverksbru (611)
9182;12627;612;Fagverksbru (612)
9182;12628;613;Fagverksbru (613)
9182;12629;614;Fagverksbru (614)
9182;12630;615;Fagverksbru (615)
9182;12631;616;Fagverksbru (616)
9182;12632;617;Fagverksbru (617)
9182;12633;618;Fagverksbru (618)
9182;12634;619;Fagverksbru (619)
9182;12635;62;Fagverksbru (62)
9182;12636;620;Fagverksbru (620)
9182;12637;621;Fagverksbru (621)
9182;12638;622;Fagverksbru (622)
9182;12639;623;Fagverksbru (623)
9182;12640;624;Fagverksbru (624)
9182;12641;625;Fagverksbru (625)
9182;12642;629;Fagverksbru (629)
9182;12643;63;Fagverksbru (63)
9182;12644;630;Fagverksbru (630)
9182;12645;631;Fagverksbru (631)
9182;12646;632;Fagverksbru (632)
9182;12647;633;Fagverksbru (633)
9182;12648;639;Fagverksbru (639)
9182;12649;64;Hengefagverkbru (64)
9182;12650;640;Hengefagverkbru (640)
9182;12651;65;Skråstagfagverk (65)
9182;12652;650;Skråstagfagverk (650)
9182;12653;66;Sprengverksbru (66)
9182;12654;660;Sprengverksbru (660)
9182;12655;661;Sprengverksbru (661)
9182;12656;662;Sprengverksbru (662)
9182;12657;663;Sprengverksbru (663)
9182;12658;664;Sprengverksbru (664)
9182;12659;665;Sprengverksbru (665)
9182;12660;666;Sprengverksbru (666)
9182;12661;669;Sprengverksbru (669)
9182;12662;67;Hengverksbru (67)
9182;12663;670;Hengverksbru (670)
9182;12664;671;Hengverksbru (671)
9182;12665;672;Hengverksbru (672)
9182;12666;673;Hengverksbru (673)
9182;12667;674;Hengverksbru (674)
9182;12668;675;Hengverksbru (675)
9182;12669;676;Hengverksbru (676)
9182;12670;677;Hengverksbru (677)
9182;12671;679;Hengverksbru (679)
9182;12672;69;Fagverk, andre (69)
9182;12673;690;Fagverk, andre (690)
9182;12674;7;Henge/flytebru (7)
9182;12675;70;Henge/flytebru (70)
9182;12676;700;Henge/flytebru (700)
9182;12677;71;Hengebru (71)
9182;12678;710;Hengebru (710)
9182;12679;711;Hengebru (711)
9182;12680;712;Hengebru (712)
9182;12681;713;Hengebru (713)
9182;12682;714;Hengebru (714)
